Id	Name	Department
600	"Cotten, Charles Michael"	Pediatrics
601	"Krishnan, K. Ranga Rama"	Psychiatry & Behavioral Sciences
602	"MacFall, James R."	Radiology
603	"Steffens, David Carl"	Psychiatry & Behavioral Sciences
604	"Brummett, Beverly H."	Psychiatry & Behavioral Sciences
605	"Siegler, Ilene C."	Psychiatry & Behavioral Sciences
606	"Williams Jr., Redford B."	Psychiatry & Behavioral Sciences
607	"Miranda, Marie Lynn"	Environmental Sciences and Policy
608	"Swamy, Geeta Krishna"	Obstetrics and Gynecology
609	"De Castro, Laura Martina"	Medicine
610	"Telen, Marilyn Jo"	Medicine
611	"Beyer, John Leslie"	Psychiatry & Behavioral Sciences
612	"Kuchibhatla, Maragatha"	Biostatistics & Bioinformatics
613	"Lee, Tih-Shih Warren"	Psychiatry & Behavioral Sciences
614	"Fuemmeler, Bernard Frank"	Community and Family Medicine
615	"McClernon, Francis Joseph"	Psychiatry & Behavioral Sciences
616	"Wang, Lihong"	Psychiatry & Behavioral Sciences
617	"Payne, Martha Elizabeth"	Psychiatry & Behavioral Sciences
618	"Hoyle, Rick"	Psychology and Neuroscience
619	"Richman, Laura Smart"	Psychology and Neuroscience
620	"Royal, Charmaine D. M."	African and African American Studies
621	"Dunson, David B."	Statistical Science
622	"Enterline, David Scott"	Radiology
623	"Fuchs, Herbert Edgar"	Surgery
624	"Hauser, Elizabeth Rebecca"	Biostatistics & Bioinformatics
625	"Ashton, Kathleen"	School of Nursing
626	"Oermann, Marilyn Haag"	School of Nursing
627	"Ashton, Robert H."	Fuqua School of Business
628	"Plesser, M. Ronen"	Physics
629	"Bhatti, M. Tariq"	Ophthalmology
630	"El-Dairi, Mays Antoine"	Ophthalmology
631	"Freedman, Sharon Fridovich"	Ophthalmology
632	"Gupta, Preeya Kshettry"	Ophthalmology
633	"Wallace, David Keith"	Ophthalmology
634	"Thakur, Mugdha Ekanath"	Psychiatry & Behavioral Sciences
635	"Astrachan, Owen L."	Computer Science
636	"Atkins, Jed W."	Classical Studies
637	"Attarian, David Edward"	Orthopaedics
638	"McKee, Daphne Connelly"	Psychiatry & Behavioral Sciences
639	"Kelley, Scott Streater"	Orthopaedics
640	"Wellman, Samuel S."	Orthopaedics
641	"Grant, Stuart Alan"	Anesthesiology
642	"Green, Cynthia Lea"	Biostatistics & Bioinformatics
643	"Attix, Deborah Koltai"	Psychiatry & Behavioral Sciences
644	"Smith, Patrick J"	Psychiatry & Behavioral Sciences
645	"Radtke, Rodney Allan"	Neurology
646	"Hayden, Kathleen M."	Psychiatry & Behavioral Sciences
647	"Atwater, Amber Reck"	Dermatology
648	"Hall III, Russell P."	Dermatology
649	"Kim, Han Woong"	Medicine
650	"Auten Jr., Richard Lambert"	Pediatrics
651	"Sheng, Huaxin"	Anesthesiology
652	"Warner, David Samuel"	Anesthesiology
653	"Foster, Matthew Wolf"	Medicine
654	"Marshall III, Harvey Edwin"	Medicine
655	"McMahon, Timothy Joseph"	Medicine
656	"Bilbo, Staci D."	Psychology and Neuroscience
657	"Babu, Shivnath"	Computer Science
658	"Munagala, Kamesh"	Computer Science
659	"Sherwood, Andrew"	Psychiatry & Behavioral Sciences
660	"Doraiswamy, Pudugramam Murali"	Psychiatry & Behavioral Sciences
661	"Hoffman, Benson Mark"	Psychiatry & Behavioral Sciences
662	"Bowers, Margaret Therese"	School of Nursing
663	"Watkins, Lana L."	Psychiatry & Behavioral Sciences
664	"Georgiades, Anastasia Zoe Elsa"	Psychiatry & Behavioral Sciences
665	"Surwit, Richard Samuel"	Psychiatry & Behavioral Sciences
666	"Caldwell, David S."	Medicine
667	"Guilak, Farshid"	Orthopaedics
668	"Rice, John Russell"	Medicine
669	"Martinu, Tereza"	Medicine
670	"Jiang, Wei"	Psychiatry & Behavioral Sciences
671	"Schocken, Douglas David"	Medicine
672	"Welty-Wolf, Karen Elizabeth"	Medicine
673	"Browndyke, Jeffrey Nicholas"	Psychiatry & Behavioral Sciences
674	"Burke, James Robert"	Neurology
675	"Bachelder, Robin Elizabeth"	Pathology
676	"Geradts, Joseph"	Pathology
677	"Osada, Takuya"	Surgery
678	"Pizzo, Salvatore Vincent"	Pathology
679	"Badea, Alexandra"	Radiology
680	"Johnson, G. Allan"	Radiology
681	"Driehuys, Bastiaan"	Radiology
682	"Badea, Cristian Tudorel"	Radiology
683	"Hedlund, Laurence William"	Radiology
684	"Zhang, Xiaofeng"	Radiology
685	"Kirsch, David Guy"	Radiation Oncology
686	"Therien, Michael J."	Chemistry
687	"Das, Shiva Kumar"	Radiation Oncology
688	"Bae, Jonathan Gregory"	Medicine
689	"Shah, Nirmish Ramesh"	Medicine
690	"Bagley, Carlos Antonio"	Surgery
691	"Haglund, Michael Martin"	Surgery
692	"Isaacs, Robert Eric"	Surgery
693	"Gottfried, Oren N"	Surgery
694	"Husain, Aatif Mairaj"	Neurology
695	"Brown, Christopher Robert"	Orthopaedics
696	"Grossi, Peter Michael"	Surgery
697	"Richardson, William James"	Orthopaedics
698	"Lad, Shivanand"	Surgery
699	"Bagnat, Michel"	Cell Biology
700	"Wolf, Patrick D."	Biomedical Engineering
701	"Judd, Robert Martin"	Medicine
702	"Klem, Igor"	Medicine
703	"Gilliss, Catherine Lynch"	School of Nursing
704	"Champagne, Mary Thomson"	School of Nursing
705	"Rice, Henry Elliot"	Surgery
706	"Bailey-Cooner, Heatherlee"	Surgery
707	"Bain, James R."	Medicine
708	"Huffman, Kim Marie"	Medicine
709	"Slentz, Cris Allan"	Medicine
710	"Morey, Miriam C."	Medicine
711	"Taylor, Gregory Alan"	Medicine
712	"Batch, Bryan Courtney"	Medicine
713	"Patel, Mahesh"	Medicine
714	"Koves, Timothy Robert"	Medicine
715	"Muoio, Deborah Marie"	Medicine
716	"Freemark, Michael Scott"	Pediatrics
717	"Baker, Jay Alan"	Radiology
718	"Lo, Joseph Yuan-Chieh"	Radiology
719	"Ghate, Sujata Vijay"	Radiology
720	"Kim, Connie Eunjung"	Radiology
721	"Samei, Ehsan"	Radiology
722	"Soo, Mary Scott Campbell"	Radiology
723	"Walsh, Ruth"	Radiology
724	"Soher, Brian Joseph"	Radiology
725	"Bashir, Mustafa Shadi Rifaat"	Radiology
726	"Johnson, Karen Schwenk"	Radiology
727	"Barnhart, Huiman Xie"	Biostatistics & Bioinformatics
728	"Mazurowski, Maciej A"	Radiology
729	"Yoon, Sora Christina"	Radiology
730	"Hwang, Eun-Sil Shelley"	Surgery
731	"Lyman, Gary Herbert"	Medicine
732	"Baker, Paul A."	Earth and Ocean Sciences
733	"Li, Wenhong"	Earth and Ocean Sciences
734	"Balcells, Laia"	Political Science
735	"Baldwin, Steven W."	Chemistry
736	"Bales, Connie Watkins"	Medicine
737	"Nelson, Rendon C."	Radiology
738	"Bali, Deeksha Sarihyan"	Pediatrics
739	"Chen, Yuan-Tsong"	Pediatrics
740	"Kishnani, Priya Sunil"	Pediatrics
741	"Koeberl, Dwight D."	Pediatrics
742	"Sun, Baodong"	Pediatrics
743	"Millington, David Stuart"	Pediatrics
744	"Rehder, Rebeccah Catherine"	Pathology
745	"Case, Laura Elizabeth"	Community and Family Medicine
746	"Young, Sarah Phyllis"	Pediatrics
747	"Buckley, Anne Frances"	Pathology
748	"Smith, Edward Clinton"	Pediatrics
749	"Balleisen, Edward J."	History
750	"Balseiro, Santiago Roman"	Fuqua School of Business
751	"Bandarenko III, Nicholas"	Pathology
752	"Bennett-Guerrero, Elliott"	Anesthesiology
753	"Goldberg, Ronald Norman"	Pediatrics
754	"Tanaka, David Timothy H."	Pediatrics
755	"Banks, David L."	Statistical Science
756	"Bansal, Ravi"	Fuqua School of Business
757	"Barak, Lawrence Simeon"	Cell Biology
758	"Mook Jr., Robert Anthony"	Medicine
759	"Hobeika, Amy Claudine"	Surgery
760	"Spector, Neil Lee"	Medicine
761	"Baran, Dominika M"	English
762	"Baranger, Harold U."	Physics
763	"Gauthier, Daniel J."	Physics
764	"Finkelstein, Gleb"	Physics
765	"Barbeau, Phillip Spencer"	Physics
766	"Barbeito, Atilio"	Anesthesiology
767	"Mark, Jonathan Ball"	Anesthesiology
768	"Schroeder, Rebecca Ann"	Anesthesiology
769	"Segall, Noa"	Anesthesiology
770	"Thornlow, Deirdre KIing"	School of Nursing
771	"Barboriak, Daniel P."	Radiology
772	"Petry, Neil Allen"	Radiology
773	"Zalutsky, Michael Rod"	Radiology
774	"Brizel, David Manfield"	Radiation Oncology
775	"Yoo, David Sung-Hyun"	Radiation Oncology
776	"Barfield, Raymond Carlton"	Pediatrics
777	"Brandon, Debra Huffman"	School of Nursing
778	"Barkauskas, Christina Eleanor"	Medicine
779	"Hogan, Brigid L. M."	Cell Biology
780	"Barker, Piers Christopher Andrew"	Pediatrics
781	"Kanter, Ronald Jay"	Pediatrics
782	"Kuller, Jeffrey Adam"	Obstetrics and Gynecology
783	"Campbell, Michael Jay"	Pediatrics
784	"Miller, Stephen Gary"	Pediatrics
785	"Brancazio, Leo Richard"	Obstetrics and Gynecology
786	"Cohen-Wolkowiez, Michael"	Pediatrics
787	"Fleming, Gregory Allan"	Pediatrics
788	"Li, Jennifer Shiunroh"	Pediatrics
789	"Kisslo, Joseph Andrew"	Medicine
790	"Marin, Daniele"	Radiology
791	"Carrico, Caroline Way Thompson"	Radiology
792	"Frush, Donald Paul"	Radiology
793	"Gaca, Ana Maria"	Radiology
794	"Maxfield, Charles Mason"	Radiology
795	"Smith, Tony Preston"	Radiology
796	"Zomorodi, Ali Reza"	Surgery
797	"Provenzale, James Michael"	Radiology
798	"Boll, Daniel Tobias"	Radiology
799	"Gupta, Rajan Tilak"	Radiology
800	"Ho, Lisa Mei-ling"	Radiology
801	"Christensen, Jared Dean"	Radiology
802	"Koweek, Lynne Michelle Hurwitz"	Radiology
803	"Leder, Richard Adam"	Radiology
804	"McAdams, Holman Page"	Radiology
805	"Barr, Roger C."	Biomedical Engineering
806	"Barros, Ana"	Civil and Environmental Engineering
807	"Ostermann, Jan"	Duke Global Health Institute
808	"Thielman, Nathan Maclyn"	Medicine
809	"Harmon, James Lester"	School of Nursing
810	"Goodman, Philip C."	Radiology
811	"Bartz, Raquel Rae"	Anesthesiology
812	"Suliman, Hagir B."	Anesthesiology
813	"Miller, Chad Michael"	Radiology
814	"Howle, Laurens E."	Mechanical Engineering and Materials Science
815	"Jones, Harrison N."	Surgery
816	"Brennan, Todd Victor"	Surgery
817	"Ellis, Matthew Jay"	Medicine
818	"Kim, Charles Yoon"	Radiology
819	"Seaman, Danielle Marie"	Radiology
820	"Czito, Brian Gary"	Radiation Oncology
821	"Suhocki, Paul Vincent"	Radiology
822	"Eastwood, James D."	Radiology
823	"Hoang, Jenny K."	Radiology
824	"Bashore, Thomas Michael"	Medicine
825	"Kiefer, Todd Lee"	Medicine
826	"Gehrig, Thomas Richard"	Medicine
827	"Bass, Cameron R."	Biomedical Engineering
828	"Capehart, Bruce Pinson"	Psychiatry & Behavioral Sciences
829	"Myers, Barry S."	Biomedical Engineering
830	"Nightingale, Roger W"	Biomedical Engineering
831	"Bass, Steffen Ashraf"	Physics
832	"Mueller, Berndt"	Physics
833	"Wolpert, Robert L."	Statistical Science
834	"Basurto, Xavier"	Marine Science and Conservation
835	"Bennett, Gary G."	Psychology and Neuroscience
836	"Edwards, Christopher Levon"	Psychiatry & Behavioral Sciences
837	"Feinglos, Mark Neil"	Medicine
838	"Spratt, Susan Elizabeth"	Medicine
839	"Lakey, Wanda Cook"	Medicine
840	"Hammond II, William Edward"	Community and Family Medicine
841	"Richesson, Rachel L"	School of Nursing
842	"Batchelor-Aselage, Melissa Karen"	School of Nursing
843	"Batinic-Haberle, Ines"	Radiation Oncology
844	"Spasojevic, Ivan"	Medicine
845	"Yan, Hai"	Pathology
846	"Keir, Stephen Thomas"	Surgery
847	"Zhang, Zhiquan"	Anesthesiology
848	"Devi, Gayathri R."	Surgery
849	"Ramanujam, Nimmi"	Biomedical Engineering
850	"Owzar, Kouros"	Biostatistics & Bioinformatics
851	"Baugh, Larry Ryan"	Biology
852	"Sherwood, David R."	Biology
853	"Bayer, Patrick"	Economics
854	"Timmins, Christopher D."	Economics
855	"Beale, J. Thomas"	Mathematics
856	"Layton, Anita T."	Mathematics
857	"Bean, Sarah Muntzing"	Pathology
858	"Jones, Claudia Kay"	Pathology
859	"Bentley, Rex Colle"	Pathology
860	"Robboy, Stanley J."	Pathology
861	"Buckley, Patrick Joseph"	Pathology
862	"Beaven, Anne Wood"	Medicine
863	"Chao, Nelson Jen An"	Medicine
864	"Chute, John Patrick"	Medicine
865	"Gasparetto, Cristina"	Medicine
866	"Horwitz, Mitchell Eric"	Medicine
867	"Lagoo, Anand Shreeram"	Pathology
868	"Li, Zhiguo"	Biostatistics & Bioinformatics
869	"Long, Gwynn Douglas"	Medicine
870	"Peterson, Bercedis Leola"	Biostatistics & Bioinformatics
871	"Rizzieri, David Alan"	Medicine
872	"Storms, Robert William"	Pediatrics
873	"Sullivan, Keith Michael"	Medicine
874	"Yang, Yiping"	Medicine
875	"Diehl, Louis Frederic"	Medicine
876	"Kelsey, Christopher Ryan"	Radiation Oncology
877	"Dave, Sandeep S."	Medicine
878	"de Castro III, Carlos Manuel"	Medicine
879	"Moore, Joseph Odell"	Medicine
880	"Becher, Oren Josh"	Pediatrics
881	"Gromeier, Matthias"	Surgery
882	"Becker, Charles Maxwell"	Economics
883	"Voora, Deepak"	Medicine
884	"Sullenger, Bruce Alan"	Surgery
885	"Patel, Chetan B."	Medicine
886	"Chi, Jen-Tsan Ashley"	Molecular Genetics and Microbiology
887	"Dungan, Jennifer"	School of Nursing
888	"Wagner II, Henry Ryan"	Psychiatry & Behavioral Sciences
889	"Rubin, David C."	Psychology and Neuroscience
890	"Mitchell, John T"	Psychiatry & Behavioral Sciences
891	"Van Voorhees, Elizabeth E."	Psychiatry & Behavioral Sciences
892	"Brancu, Mira"	Psychiatry & Behavioral Sciences
893	"Runnals, Jennifer J."	Psychiatry & Behavioral Sciences
894	"Hertzberg, Michael Andrew"	Psychiatry & Behavioral Sciences
895	"Crawford, Eric F."	Psychiatry & Behavioral Sciences
896	"Ulmer, Christi S"	Psychiatry & Behavioral Sciences
897	"Fulton, Jessica Jade"	Psychiatry & Behavioral Sciences
898	"Kudler, Harold Stephen"	Psychiatry & Behavioral Sciences
899	"Marx, Christine Elizabeth"	Psychiatry & Behavioral Sciences
900	"Morey, Rajendra A."	Psychiatry & Behavioral Sciences
901	"Nieuwsma, Jason A"	Psychiatry & Behavioral Sciences
902	"Tupler, Larry A."	Psychiatry & Behavioral Sciences
903	"Weiner, Richard David"	Psychiatry & Behavioral Sciences
904	"Bedlack, Richard Stanley"	Neurology
905	"Yao, Tso-Pang"	Pharmacology & Cancer Biology
906	"Modrich, Paul L."	Biochemistry
907	"Behringer, Robert P."	Physics
908	"Bejan, Adrian"	Mechanical Engineering and Materials Science
909	"Bejsovec, Amy"	Biology
910	"Bellet, Jane Sanders"	Dermatology
911	"Prose, Neil Stuart"	Dermatology
912	"Wolfe, Sarah Ann"	Dermatology
913	"Belloni, Alexandre"	Fuqua School of Business
914	"Bendich, Paul L"	Mathematics
915	"Harer, John"	Mathematics
916	"Benfey, Philip N."	Biology
917	"Tomasi, Carlo"	Computer Science
918	"Ohler, Uwe"	Biostatistics & Bioinformatics
919	"Mitchell-Olds, Thomas"	Biology
920	"Watt, Kevin Michael"	Pediatrics
921	"Martin, Paul Langlie"	Pediatrics
922	"Steinbach, William J."	Pediatrics
923	"Goldstein, Ricki Friedman"	Pediatrics
924	"McKinney Jr., Ross Erwin"	Pediatrics
925	"Lenfestey, Robert William"	Pediatrics
926	"Reiman Jr., Robert Ellis"	Radiology
927	"Bennear, Lori Snyder"	Environmental Sciences and Policy
928	"Smith, Martin D."	Environmental Sciences and Policy
929	"Pfaff, Alexander"	Sanford School of Public Policy
930	"Read, Andrew J"	Marine Science and Conservation
931	"Benner, Eric James"	Pediatrics
932	"Eroglu, Cagla"	Cell Biology
933	"Kuo, Chay Titus"	Cell Biology
934	"Liu, Chunlei"	Radiology
935	"Smith, Stephen William"	Biomedical Engineering
936	"Caspi, Avshalom"	Psychology and Neuroscience
937	"Moffitt, Terrie E."	Psychology and Neuroscience
938	"Proeschold-Bell, Rae Jean"	Duke Global Health Institute
939	"Bennett, George Vann"	Biochemistry
940	"Marszalek, Piotr E."	Mechanical Engineering and Materials Science
941	"Yang, Weitao"	Chemistry
942	"Shaw, Andrew David"	Anesthesiology
943	"BENSON, THEOPHILUS ADETOKUNBO"	Computer Science
944	"Campa, Michael Joseph"	Radiology
945	"Gottlin, Elizabeth B."	Radiology
946	"Pisetsky, David Stephen"	Medicine
947	"Linardic, Corinne Mary"	Pediatrics
948	"Marks, Jeffrey R."	Surgery
949	"Schildkraut, Joellen Martha"	Community and Family Medicine
950	"Iversen Jr., Edwin Severin"	Statistical Science
951	"Heine, Robert Phillips"	Obstetrics and Gynecology
952	"Seed, Patrick Casey"	Pediatrics
953	"Ford, Anne Cunanan"	Obstetrics and Gynecology
954	"Hawblitzel Yarnall, Kimberly S."	Community and Family Medicine
955	"Beratan, David N."	Chemistry
956	"Craig, Stephen Lawrence"	Chemistry
957	"Toone, Eric John"	Chemistry
958	"Moorman, Patricia Gripka"	Community and Family Medicine
959	"Myers, Evan Robert"	Obstetrics and Gynecology
960	"Berg, Carl"	Medicine
961	"Berger, James O."	Statistical Science
962	"Clyde, Merlise"	Statistical Science
963	"Bermeo, Sarah Blodgett"	Sanford School of Public Policy
964	"Bernhardt, Emily Snow"	Biology
965	"Doyle, Martin"	Environmental Sciences and Policy
966	"Wright, Justin Prouty"	Biology
967	"Liu, Jie"	Chemistry
968	"Jackson, Robert B."	Earth and Ocean Sciences
969	"Oren, Ram"	Environmental Sciences and Policy
970	"Palmroth, Sari"	Environmental Sciences and Policy
971	"Di Giulio, Richard T."	Environmental Sciences and Policy
972	"Vengosh, Avner"	Earth and Ocean Sciences
973	"Hsu-Kim, Heileen"	Civil and Environmental Engineering
974	"Richardson, Curtis J."	Environmental Sciences and Policy
975	"Fay, John Patrick"	Environmental Sciences and Policy
976	"Gunsch, Claudia K."	Civil and Environmental Engineering
977	"Meyer, Joel"	Environmental Sciences and Policy
978	"Hunt, Dana E."	Marine Science and Conservation
979	"Bernstein, Fernando"	Fuqua School of Business
980	"Kok, A. Gurhan"	Fuqua School of Business
981	"Beskow, Laura Mari"	Medicine
982	"Holditch-Davis, Diane L."	School of Nursing
983	"Jackson, George Lee"	Medicine
984	"Bettman, James R."	Fuqua School of Business
985	"Fitzsimons, Gavan J."	Fuqua School of Business
986	"Payne, John W."	Fuqua School of Business
987	"Ubel, Peter A"	Fuqua School of Business
988	"Richard, Michael Jason"	Ophthalmology
989	"Kaylie, David Marcus"	Surgery
990	"Ready, Neal Edward"	Medicine
991	"Mahmoud, Tamer Hamdy"	Ophthalmology
992	"Gururangan, Sridharan"	Pediatrics
993	"Peters, Katherine Barnett"	Neurology
994	"He, Yiping"	Pathology
995	"Rasheed, B. K. Ahmed"	Pathology
996	"Vo-Dinh, Tuan"	Biomedical Engineering
997	"Nicchitta, Christopher Vincent"	Cell Biology
998	"Black, Sherilynn"	Medical Education
999	"Dzirasa, Kafui"	Psychiatry & Behavioral Sciences
1000	"Szabo, Steven"	Psychiatry & Behavioral Sciences
1001	"Hartman, Zachary Conrad"	Surgery
1002	"Clary, Bryan Marshall"	Surgery
1003	"McCann, Richard L."	Surgery
1004	"Pappas, Theodore N."	Surgery
1005	"Scarborough, John Emerson"	Surgery
1006	"White, Rebekah Ruth"	Surgery
1007	"Lagoo-Deenadayalan, Sandhya Anand"	Surgery
1008	"Willett, Christopher G."	Radiation Oncology
1009	"Zani Jr., Sabino"	Surgery
1010	"Strickler, John"	Medicine
1011	"Perez, Alexander"	Surgery
1012	"Wu, Li-Tzy"	Psychiatry & Behavioral Sciences
1013	"Burchett, Bruce Myatt"	Psychiatry & Behavioral Sciences
1014	"Hybels, Celia F."	Psychiatry & Behavioral Sciences
1015	"Li, Ting-Kai"	Psychiatry & Behavioral Sciences
1016	"James, Sherman A."	Sanford School of Public Policy
1017	"Fillenbaum, Gerda G."	Psychiatry & Behavioral Sciences
1018	"Mannelli, Paolo"	Psychiatry & Behavioral Sciences
1019	"Swartz, Marvin Stanley"	Psychiatry & Behavioral Sciences
1020	"Zeng, Yi"	Medicine
1021	"Kinghorn, Warren A."	Psychiatry & Behavioral Sciences
1022	"Blazing, Michael August"	Medicine
1023	"Silva, Susan Gray"	School of Nursing
1024	"Varia, Indira Mahesh"	Psychiatry & Behavioral Sciences
1025	"Blitzblau, Rachel Catherine"	Radiation Oncology
1026	"Gockerman, Jon Paul"	Medicine
1027	"Datto, Michael Bradley"	Pathology
1028	"Riedel, Richard Francis"	Medicine
1029	"Vlahovic, Gordana"	Medicine
1030	"Hanks, Brent Allen"	Medicine
1031	"Blood-Siegfried, Jane Elizabeth"	School of Nursing
1032	"Bloomfield, Gerald"	Medicine
1033	"Waugh, Robert Andrew"	Medicine
1034	"Finkelstein, Eric Andrew"	Duke Global Health Institute
1035	"Limkakeng Jr., Alexander Tan"	Surgery
1036	"Lynch, Catherine Ann"	Surgery
1037	"Blount, Alma G."	Sanford School of Public Policy
1038	"Blum, Volker"	Mechanical Engineering and Materials Science
1039	"Potter, Guy Glenn"	Psychiatry & Behavioral Sciences
1040	"Boadu, Fred K."	Civil and Environmental Engineering
1041	"Boatwright, Mary T."	Classical Studies
1042	"Bobrowski, Omer"	Mathematics
1043	"Boehlke, Christopher Stephen"	Ophthalmology
1044	"Muhlbaier, Lawrence H."	Biostatistics & Bioinformatics
1045	"Boggess, Blake Reid"	Community and Family Medicine
1046	"Bytomski, Jeffrey Ryszard"	Community and Family Medicine
1047	"Miller Jr., Michael Joseph"	Radiology
1048	"Bollerslev, Tim"	Economics
1049	"Tauchen, George E."	Economics
1050	"Orlando, Lori Ann"	Medicine
1051	"Urbaniak, James Randolph"	Orthopaedics
1052	"Mather, Richard Charles"	Orthopaedics
1053	"Moorman III, Claude Thurman"	Orthopaedics
1054	"Olson, Steven Arthur"	Orthopaedics
1055	"Zura, Robert Douglas"	Orthopaedics
1056	"Kwatra, Madan Mohan"	Anesthesiology
1057	"Moon, Richard Edward"	Anesthesiology
1058	"Rivelli, Sarah K."	Psychiatry & Behavioral Sciences
1059	"Young, Christopher Carlo"	Anesthesiology
1060	"Marks, David Morris"	Psychiatry & Behavioral Sciences
1061	"Bonaventura, Celia J."	Marine Science and Conservation
1062	"Crumbliss, Alvin L."	Chemistry
1063	"Bonaventura, Joseph"	Marine Science and Conservation
1064	"Criscione-Schreiber, Lisa Giorgina"	Medicine
1065	"Bookman, Jack"	Mathematics
1066	"McGann, Kathleen Anne"	Pediatrics
1067	"Narayan, Aditee Pradhan"	Pediatrics
1068	"Borawski, Joseph Brian"	Surgery
1069	"Gerardo, Charles John"	Surgery
1070	"Hocker, Michael Brian"	Surgery
1071	"Villani, John Joseph"	Surgery
1072	"Bordelon, Anna Hong"	Ophthalmology
1073	"Kim, Terry"	Ophthalmology
1074	"Bordley, William Clayton"	Pediatrics
1075	"Borel III, Cecil Orm"	Anesthesiology
1076	"Guinn, Nicole Renee"	Anesthesiology
1077	"McDonagh, David Lawrence"	Anesthesiology
1078	"Keifer, John Conlon"	Anesthesiology
1079	"Borges-Neto, Salvador"	Radiology
1080	"James, Olga Gennadyevna"	Radiology
1081	"Fiuzat, Mona"	Medicine
1082	"Phillips III, Harry Rissler"	Medicine
1083	"Borst, Alexandra Jane"	Pediatrics
1084	"Sebastian, Siby Nil"	Pathology
1085	"Hulette, Christine Marie"	Pathology
1086	"Van Houtven, Courtney Harold"	Medicine
1087	"Wang, Virginia"	Medicine
1088	"Crowley, Matthew Janik"	Medicine
1089	"Peterson, Matthew John"	Medicine
1090	"Shaw, Ryan"	School of Nursing
1091	"Johnson, Constance Margaret"	School of Nursing
1092	"Lipkus, Isaac Marcelo"	School of Nursing
1093	"Bowlby, Lynn Anne"	Medicine
1094	"Trujillo, Gloria Marie"	Community and Family Medicine
1095	"Goldstein, Karen"	Medicine
1096	"Rakley, Susan Merle"	Medicine
1097	"Pereira, Katherine Colligan"	School of Nursing
1098	"Bottiger, Brandi Anne"	Anesthesiology
1099	"Boudreau, Alan E."	Earth and Ocean Sciences
1100	"Boulding, William F."	Fuqua School of Business
1101	"Staelin, Richard"	Fuqua School of Business
1102	"Boulware, L. Ebony"	Medicine
1103	"Toth, Cynthia Ann"	Ophthalmology
1104	"Bowler, Kate"	Divinity School
1105	"Bowles, Dawn Elizabeth"	Surgery
1106	"Schroder, Jacob Niall"	Surgery
1107	"Kontos, Christopher Dale"	Medicine
1108	"Bowman, Rachel A"	Psychiatry
1109	"Boyce, Michael Scott"	Biochemistry
1110	"Boyer, Douglas Martin"	Evolutionary Anthropology
1111	"Daubechies, Ingrid"	Mathematics
1112	"Bradford, Daniel William"	Psychiatry & Behavioral Sciences
1113	"Kilts, Jason David"	Psychiatry & Behavioral Sciences
1114	"Naylor, Jennifer C."	Psychiatry & Behavioral Sciences
1115	"Braxton, Loretta Elaine"	Psychiatry & Behavioral Sciences
1116	"Zinn, Sandra Denise"	Psychiatry & Behavioral Sciences
1117	"Strauman, Timothy J."	Psychology and Neuroscience
1118	"Swanson, Jeffrey W."	Psychiatry & Behavioral Sciences
1119	"Bradley, Deborah Ann"	Medicine
1120	"Inman, Brant Allen"	Surgery
1121	"Bradrick, Shelton"	Molecular Genetics and Microbiology
1122	"Bradshaw, Wanda Todd"	School of Nursing
1123	"Brady, David J."	Electrical and Computer Engineering
1124	"Marks, Daniel L."	Electrical and Computer Engineering
1125	"Gehm, Michael"	Electrical and Computer Engineering
1126	"Kim, Jungsang"	Electrical and Computer Engineering
1127	"Schmidler, Scott C."	Statistical Science
1128	"Willett, Rebecca"	Electrical and Computer Engineering
1129	"Kapadia, Anuj J"	Radiology
1130	"Carin, Lawrence"	Electrical and Computer Engineering
1131	"Smith, David R."	Electrical and Computer Engineering
1132	"Liao, Xuejun"	Electrical and Computer Engineering
1133	"Sapiro, Guillermo"	Electrical and Computer Engineering
1134	"Tornai, Martin Paul"	Radiology
1135	"Branch, Malcolm Stanley"	Medicine
1136	"Jowell, Paul Simon"	Medicine
1137	"Liddle, Rodger Alan"	Medicine
1138	"Obando, Jorge Valdemar"	Medicine
1139	"Poleski, Martin Henry"	Medicine
1140	"Pabon-Ramos, Waleska Michelle"	Radiology
1141	"Burbridge, Rebecca Ann"	Medicine
1142	"Omotosho, Philip Ayodeji"	Surgery
1143	"Curry, John F."	Psychiatry
1144	"Malcolm, William Ferris"	Pediatrics
1145	"Turner, Barbara Swope"	School of Nursing
1146	"Levy, Janet Anne"	School of Nursing
1147	"Hawks, Sharon Jeanette"	School of Nursing
1148	"Powell, Dorothy Lewis"	School of Nursing
1149	"Taicher, Brad Matthew"	Anesthesiology
1150	"Brandon, Robert N."	Philosophy
1151	"McShea, Daniel W."	Biology
1152	"Brands, Hal"	Sanford School of Public Policy
1153	"Brandt, Michael W."	Fuqua School of Business
1154	"Brannon, Elizabeth M."	Psychology and Neuroscience
1155	"Platt, Michael Louis"	Neurobiology
1156	"Drea, Christine M."	Evolutionary Anthropology
1157	"Hare, Brian"	Evolutionary Anthropology
1158	"Nunn, Charles L"	Evolutionary Anthropology
1159	"Brav, Alon"	Fuqua School of Business
1160	"Bray, Hubert"	Mathematics
1161	"Brennan, Richard Gerald"	Biochemistry
1162	"Schumacher, Maria Anne"	Biochemistry
1163	"Guan, Ziqiang"	Biochemistry
1164	"Collins, Bradley Henry"	Surgery
1165	"Hollenbeck, Scott Thomas"	Surgery
1166	"Ravindra, Kadiyala Venkata"	Surgery
1167	"Sudan, Debra L"	Surgery
