id,author,department,dept_id
559,"Halabi, Susan",Biostatistics & Bioinformatics,9
560,"Zaas, David William",Medicine,39
561,"Jaffe, Tracy Anne",Radiology,58
562,"Armstrong, Brenda Estelle",Pediatrics,48
563,"Armstrong, Michael Brannon",Pediatrics,48
564,"Lavau, Catherine Praxede",Pediatrics,48
565,"Wechsler, Daniel Steven Gary",Pediatrics,48
566,"Armstrong, Sarah Commisso",Pediatrics,48
567,"Silberberg, Mina Ruth",Community and Family Medicine,14
568,"Kemper, Alex Randall",Pediatrics,48
569,"Ostbye, Truls",Community and Family Medicine,14
570,"Mangarelli, Caren",Pediatrics,48
571,"Aronson, Solomon",Anesthesiology,2
572,"Babyak, Michael Alan",Psychiatry & Behavioral Sciences,55
573,"Blumenthal, James Alan",Psychiatry & Behavioral Sciences,55
574,"D'Amico, Thomas Anthony",Surgery,68
575,"Del Rio, Jose Mauricio",Anesthesiology,2
576,"Gaca, Jeffrey Giles",Surgery,68
577,"Harpole Jr., David Harold",Surgery,68
578,"Hughes IV, George Charles",Surgery,68
579,"Lodge, Andrew James",Surgery,68
580,"Nicoara, Alina",Anesthesiology,2
581,"Sketch Jr., Michael Hugh",Medicine,39
582,"Stafford-Smith, Mark",Anesthesiology,2
583,"Strittmatter, Warren James",Neurology,43
584,"Swaminathan, Madhav",Anesthesiology,2
585,"Tong, Betty Caroline",Surgery,68
586,"Fontes, Manuel Lopes",Anesthesiology,2
587,"Cherry, Anne",Anesthesiology,2
588,"Arora, Ashish",Fuqua School of Business,30
589,"Belenzon, Sharon",Fuqua School of Business,30
590,"Arshavsky, Vadim Yurjevich",Ophthalmology,45
591,"Farsiu, Sina",Ophthalmology,45
592,"Caron, Marc G.",Cell Biology,10
593,"Rebrik, Tatiana I",Ophthalmology,45
594,"Izatt, Joseph A.",Biomedical Engineering,8
595,"Aryal, Shambhu",Medicine,39
596,"Asher, Steven R.",Psychology and Neuroscience,56
597,"Ashley, Patricia Lynn",Pediatrics,48
598,"Bidegain, Margarita",Pediatrics,48
599,"Cotten, Charles Michael",Pediatrics,48
600,"Krishnan, K. Ranga Rama",Psychiatry & Behavioral Sciences,55
601,"MacFall, James R.",Radiology,58
602,"Steffens, David Carl",Psychiatry & Behavioral Sciences,55
603,"Brummett, Beverly H.",Psychiatry & Behavioral Sciences,55
604,"Siegler, Ilene C.",Psychiatry & Behavioral Sciences,55
605,"Williams Jr., Redford B.",Psychiatry & Behavioral Sciences,55
606,"Miranda, Marie Lynn",Environmental Sciences and Policy,28
607,"Swamy, Geeta Krishna",Obstetrics and Gynecology,44
608,"De Castro, Laura Martina",Medicine,39
609,"Telen, Marilyn Jo",Medicine,39
610,"Beyer, John Leslie",Psychiatry & Behavioral Sciences,55
611,"Kuchibhatla, Maragatha",Biostatistics & Bioinformatics,9
612,"Lee, Tih-Shih Warren",Psychiatry & Behavioral Sciences,55
613,"Fuemmeler, Bernard Frank",Community and Family Medicine,14
614,"McClernon, Francis Joseph",Psychiatry & Behavioral Sciences,55
615,"Wang, Lihong",Psychiatry & Behavioral Sciences,55
616,"Payne, Martha Elizabeth",Psychiatry & Behavioral Sciences,55
617,"Hoyle, Rick",Psychology and Neuroscience,56
618,"Richman, Laura Smart",Psychology and Neuroscience,56
619,"Royal, Charmaine D. M.",African and African American Studies,1
620,"Dunson, David B.",Statistical Science,67
621,"Enterline, David Scott",Radiology,58
622,"Fuchs, Herbert Edgar",Surgery,68
623,"Hauser, Elizabeth Rebecca",Biostatistics & Bioinformatics,9
624,"Ashton, Kathleen",School of Nursing,63
625,"Oermann, Marilyn Haag",School of Nursing,63
626,"Ashton, Robert H.",Fuqua School of Business,30
627,"Plesser, M. Ronen",Physics,51
628,"Bhatti, M. Tariq",Ophthalmology,45
629,"El-Dairi, Mays Antoine",Ophthalmology,45
630,"Freedman, Sharon Fridovich",Ophthalmology,45
631,"Gupta, Preeya Kshettry",Ophthalmology,45
632,"Wallace, David Keith",Ophthalmology,45
633,"Thakur, Mugdha Ekanath",Psychiatry & Behavioral Sciences,55
634,"Astrachan, Owen L.",Computer Science,15
635,"Atkins, Jed W.",Classical Studies,13
636,"Attarian, David Edward",Orthopaedics,46
637,"McKee, Daphne Connelly",Psychiatry & Behavioral Sciences,55
638,"Kelley, Scott Streater",Orthopaedics,46
639,"Wellman, Samuel S.",Orthopaedics,46
640,"Grant, Stuart Alan",Anesthesiology,2
641,"Green, Cynthia Lea",Biostatistics & Bioinformatics,9
642,"Attix, Deborah Koltai",Psychiatry & Behavioral Sciences,55
643,"Smith, Patrick J",Psychiatry & Behavioral Sciences,55
644,"Radtke, Rodney Allan",Neurology,43
645,"Hayden, Kathleen M.",Psychiatry & Behavioral Sciences,55
646,"Atwater, Amber Reck",Dermatology,18
647,"Hall III, Russell P.",Dermatology,18
648,"Kim, Han Woong",Medicine,39
649,"Auten Jr., Richard Lambert",Pediatrics,48
650,"Sheng, Huaxin",Anesthesiology,2
651,"Warner, David Samuel",Anesthesiology,2
652,"Foster, Matthew Wolf",Medicine,39
653,"Marshall III, Harvey Edwin",Medicine,39
654,"McMahon, Timothy Joseph",Medicine,39
655,"Bilbo, Staci D.",Psychology and Neuroscience,56
656,"Babu, Shivnath",Computer Science,15
657,"Munagala, Kamesh",Computer Science,15
658,"Sherwood, Andrew",Psychiatry & Behavioral Sciences,55
659,"Doraiswamy, Pudugramam Murali",Psychiatry & Behavioral Sciences,55
660,"Hoffman, Benson Mark",Psychiatry & Behavioral Sciences,55
661,"Bowers, Margaret Therese",School of Nursing,63
662,"Watkins, Lana L.",Psychiatry & Behavioral Sciences,55
663,"Georgiades, Anastasia Zoe Elsa",Psychiatry & Behavioral Sciences,55
664,"Surwit, Richard Samuel",Psychiatry & Behavioral Sciences,55
665,"Caldwell, David S.",Medicine,39
666,"Guilak, Farshid",Orthopaedics,46
667,"Rice, John Russell",Medicine,39
668,"Martinu, Tereza",Medicine,39
669,"Jiang, Wei",Psychiatry & Behavioral Sciences,55
670,"Schocken, Douglas David",Medicine,39
671,"Welty-Wolf, Karen Elizabeth",Medicine,39
672,"Browndyke, Jeffrey Nicholas",Psychiatry & Behavioral Sciences,55
673,"Burke, James Robert",Neurology,43
674,"Bachelder, Robin Elizabeth",Pathology,47
675,"Geradts, Joseph",Pathology,47
676,"Osada, Takuya",Surgery,68
677,"Pizzo, Salvatore Vincent",Pathology,47
678,"Badea, Alexandra",Radiology,58
679,"Johnson, G. Allan",Radiology,58
680,"Driehuys, Bastiaan",Radiology,58
681,"Badea, Cristian Tudorel",Radiology,58
682,"Hedlund, Laurence William",Radiology,58
683,"Zhang, Xiaofeng",Radiology,58
684,"Kirsch, David Guy",Radiation Oncology,57
685,"Therien, Michael J.",Chemistry,11
686,"Das, Shiva Kumar",Radiation Oncology,57
687,"Bae, Jonathan Gregory",Medicine,39
688,"Shah, Nirmish Ramesh",Medicine,39
689,"Bagley, Carlos Antonio",Surgery,68
690,"Haglund, Michael Martin",Surgery,68
691,"Isaacs, Robert Eric",Surgery,68
692,"Gottfried, Oren N",Surgery,68
693,"Husain, Aatif Mairaj",Neurology,43
694,"Brown, Christopher Robert",Orthopaedics,46
695,"Grossi, Peter Michael",Surgery,68
696,"Richardson, William James",Orthopaedics,46
697,"Lad, Shivanand",Surgery,68
698,"Bagnat, Michel",Cell Biology,10
699,"Wolf, Patrick D.",Biomedical Engineering,8
700,"Judd, Robert Martin",Medicine,39
701,"Klem, Igor",Medicine,39
702,"Gilliss, Catherine Lynch",School of Nursing,63
703,"Champagne, Mary Thomson",School of Nursing,63
704,"Rice, Henry Elliot",Surgery,68
705,"Bailey-Cooner, Heatherlee",Surgery,68
706,"Bain, James R.",Medicine,39
707,"Huffman, Kim Marie",Medicine,39
708,"Slentz, Cris Allan",Medicine,39
709,"Morey, Miriam C.",Medicine,39
710,"Taylor, Gregory Alan",Medicine,39
711,"Batch, Bryan Courtney",Medicine,39
712,"Patel, Mahesh",Medicine,39
713,"Koves, Timothy Robert",Medicine,39
714,"Muoio, Deborah Marie",Medicine,39
715,"Freemark, Michael Scott",Pediatrics,48
716,"Baker, Jay Alan",Radiology,58
717,"Lo, Joseph Yuan-Chieh",Radiology,58
718,"Ghate, Sujata Vijay",Radiology,58
719,"Kim, Connie Eunjung",Radiology,58
720,"Samei, Ehsan",Radiology,58
721,"Soo, Mary Scott Campbell",Radiology,58
722,"Walsh, Ruth",Radiology,58
723,"Soher, Brian Joseph",Radiology,58
724,"Bashir, Mustafa Shadi Rifaat",Radiology,58
725,"Johnson, Karen Schwenk",Radiology,58
726,"Barnhart, Huiman Xie",Biostatistics & Bioinformatics,9
727,"Mazurowski, Maciej A",Radiology,58
728,"Yoon, Sora Christina",Radiology,58
729,"Hwang, Eun-Sil Shelley",Surgery,68
730,"Lyman, Gary Herbert",Medicine,39
731,"Baker, Paul A.",Earth and Ocean Sciences,23
732,"Li, Wenhong",Earth and Ocean Sciences,23
733,"Balcells, Laia",Political Science,52
734,"Baldwin, Steven W.",Chemistry,11
735,"Bales, Connie Watkins",Medicine,39
736,"Nelson, Rendon C.",Radiology,58
737,"Bali, Deeksha Sarihyan",Pediatrics,48
738,"Chen, Yuan-Tsong",Pediatrics,48
739,"Kishnani, Priya Sunil",Pediatrics,48
740,"Koeberl, Dwight D.",Pediatrics,48
741,"Sun, Baodong",Pediatrics,48
742,"Millington, David Stuart",Pediatrics,48
743,"Rehder, Rebeccah Catherine",Pathology,47
744,"Case, Laura Elizabeth",Community and Family Medicine,14
745,"Young, Sarah Phyllis",Pediatrics,48
746,"Buckley, Anne Frances",Pathology,47
747,"Smith, Edward Clinton",Pediatrics,48
748,"Balleisen, Edward J.",History,32
749,"Balseiro, Santiago Roman",Fuqua School of Business,30
750,"Bandarenko III, Nicholas",Pathology,47
751,"Bennett-Guerrero, Elliott",Anesthesiology,2
752,"Goldberg, Ronald Norman",Pediatrics,48
753,"Tanaka, David Timothy H.",Pediatrics,48
754,"Banks, David L.",Statistical Science,67
755,"Bansal, Ravi",Fuqua School of Business,30
756,"Barak, Lawrence Simeon",Cell Biology,10
757,"Mook Jr., Robert Anthony",Medicine,39
758,"Hobeika, Amy Claudine",Surgery,68
759,"Spector, Neil Lee",Medicine,39
760,"Baran, Dominika M",English,27
761,"Baranger, Harold U.",Physics,51
762,"Gauthier, Daniel J.",Physics,51
763,"Finkelstein, Gleb",Physics,51
764,"Barbeau, Phillip Spencer",Physics,51
765,"Barbeito, Atilio",Anesthesiology,2
766,"Mark, Jonathan Ball",Anesthesiology,2
767,"Schroeder, Rebecca Ann",Anesthesiology,2
768,"Segall, Noa",Anesthesiology,2
769,"Thornlow, Deirdre KIing",School of Nursing,63
770,"Barboriak, Daniel P.",Radiology,58
771,"Petry, Neil Allen",Radiology,58
772,"Zalutsky, Michael Rod",Radiology,58
773,"Brizel, David Manfield",Radiation Oncology,57
774,"Yoo, David Sung-Hyun",Radiation Oncology,57
775,"Barfield, Raymond Carlton",Pediatrics,48
776,"Brandon, Debra Huffman",School of Nursing,63
777,"Barkauskas, Christina Eleanor",Medicine,39
778,"Hogan, Brigid L. M.",Cell Biology,10
779,"Barker, Piers Christopher Andrew",Pediatrics,48
780,"Kanter, Ronald Jay",Pediatrics,48
781,"Kuller, Jeffrey Adam",Obstetrics and Gynecology,44
782,"Campbell, Michael Jay",Pediatrics,48
783,"Miller, Stephen Gary",Pediatrics,48
784,"Brancazio, Leo Richard",Obstetrics and Gynecology,44
785,"Cohen-Wolkowiez, Michael",Pediatrics,48
786,"Fleming, Gregory Allan",Pediatrics,48
787,"Li, Jennifer Shiunroh",Pediatrics,48
788,"Kisslo, Joseph Andrew",Medicine,39
789,"Marin, Daniele",Radiology,58
790,"Carrico, Caroline Way Thompson",Radiology,58
791,"Frush, Donald Paul",Radiology,58
792,"Gaca, Ana Maria",Radiology,58
793,"Maxfield, Charles Mason",Radiology,58
794,"Smith, Tony Preston",Radiology,58
795,"Zomorodi, Ali Reza",Surgery,68
796,"Provenzale, James Michael",Radiology,58
797,"Boll, Daniel Tobias",Radiology,58
798,"Gupta, Rajan Tilak",Radiology,58
799,"Ho, Lisa Mei-ling",Radiology,58
800,"Christensen, Jared Dean",Radiology,58
801,"Koweek, Lynne Michelle Hurwitz",Radiology,58
802,"Leder, Richard Adam",Radiology,58
803,"McAdams, Holman Page",Radiology,58
804,"Barr, Roger C.",Biomedical Engineering,8
805,"Barros, Ana",Civil and Environmental Engineering,12
806,"Ostermann, Jan",Duke Global Health Institute,21
807,"Thielman, Nathan Maclyn",Medicine,39
808,"Harmon, James Lester",School of Nursing,63
809,"Goodman, Philip C.",Radiology,58
810,"Bartz, Raquel Rae",Anesthesiology,2
811,"Suliman, Hagir B.",Anesthesiology,2
812,"Miller, Chad Michael",Radiology,58
813,"Howle, Laurens E.",Mechanical Engineering and Materials Science,37
814,"Jones, Harrison N.",Surgery,68
815,"Brennan, Todd Victor",Surgery,68
816,"Ellis, Matthew Jay",Medicine,39
817,"Kim, Charles Yoon",Radiology,58
818,"Seaman, Danielle Marie",Radiology,58
819,"Czito, Brian Gary",Radiation Oncology,57
820,"Suhocki, Paul Vincent",Radiology,58
821,"Eastwood, James D.",Radiology,58
822,"Hoang, Jenny K.",Radiology,58
823,"Bashore, Thomas Michael",Medicine,39
824,"Kiefer, Todd Lee",Medicine,39
825,"Gehrig, Thomas Richard",Medicine,39
826,"Bass, Cameron R.",Biomedical Engineering,8
827,"Capehart, Bruce Pinson",Psychiatry & Behavioral Sciences,55
828,"Myers, Barry S.",Biomedical Engineering,8
829,"Nightingale, Roger W",Biomedical Engineering,8
830,"Bass, Steffen Ashraf",Physics,51
831,"Mueller, Berndt",Physics,51
832,"Wolpert, Robert L.",Statistical Science,67
833,"Basurto, Xavier",Marine Science and Conservation,35
834,"Bennett, Gary G.",Psychology and Neuroscience,56
835,"Edwards, Christopher Levon",Psychiatry & Behavioral Sciences,55
836,"Feinglos, Mark Neil",Medicine,39
837,"Spratt, Susan Elizabeth",Medicine,39
838,"Lakey, Wanda Cook",Medicine,39
839,"Hammond II, William Edward",Community and Family Medicine,14
840,"Richesson, Rachel L",School of Nursing,63
841,"Batchelor-Aselage, Melissa Karen",School of Nursing,63
842,"Batinic-Haberle, Ines",Radiation Oncology,57
843,"Spasojevic, Ivan",Medicine,39
844,"Yan, Hai",Pathology,47
845,"Keir, Stephen Thomas",Surgery,68
846,"Zhang, Zhiquan",Anesthesiology,2
847,"Devi, Gayathri R.",Surgery,68
848,"Ramanujam, Nimmi",Biomedical Engineering,8
849,"Owzar, Kouros",Biostatistics & Bioinformatics,9
850,"Baugh, Larry Ryan",Biology,7
851,"Sherwood, David R.",Biology,7
852,"Bayer, Patrick",Economics,24
853,"Timmins, Christopher D.",Economics,24
854,"Beale, J. Thomas",Mathematics,36
855,"Layton, Anita T.",Mathematics,36
856,"Bean, Sarah Muntzing",Pathology,47
857,"Jones, Claudia Kay",Pathology,47
858,"Bentley, Rex Colle",Pathology,47
859,"Robboy, Stanley J.",Pathology,47
860,"Buckley, Patrick Joseph",Pathology,47
861,"Beaven, Anne Wood",Medicine,39
862,"Chao, Nelson Jen An",Medicine,39
863,"Chute, John Patrick",Medicine,39
864,"Gasparetto, Cristina",Medicine,39
865,"Horwitz, Mitchell Eric",Medicine,39
866,"Lagoo, Anand Shreeram",Pathology,47
867,"Li, Zhiguo",Biostatistics & Bioinformatics,9
868,"Long, Gwynn Douglas",Medicine,39
869,"Peterson, Bercedis Leola",Biostatistics & Bioinformatics,9
870,"Rizzieri, David Alan",Medicine,39
871,"Storms, Robert William",Pediatrics,48
872,"Sullivan, Keith Michael",Medicine,39
873,"Yang, Yiping",Medicine,39
874,"Diehl, Louis Frederic",Medicine,39
875,"Kelsey, Christopher Ryan",Radiation Oncology,57
876,"Dave, Sandeep S.",Medicine,39
877,"de Castro III, Carlos Manuel",Medicine,39
878,"Moore, Joseph Odell",Medicine,39
879,"Becher, Oren Josh",Pediatrics,48
880,"Gromeier, Matthias",Surgery,68
881,"Becker, Charles Maxwell",Economics,24
882,"Voora, Deepak",Medicine,39
883,"Sullenger, Bruce Alan",Surgery,68
884,"Patel, Chetan B.",Medicine,39
885,"Chi, Jen-Tsan Ashley",Molecular Genetics and Microbiology,40
886,"Dungan, Jennifer",School of Nursing,63
887,"Wagner II, Henry Ryan",Psychiatry & Behavioral Sciences,55
888,"Rubin, David C.",Psychology and Neuroscience,56
889,"Mitchell, John T",Psychiatry & Behavioral Sciences,55
890,"Van Voorhees, Elizabeth E.",Psychiatry & Behavioral Sciences,55
891,"Brancu, Mira",Psychiatry & Behavioral Sciences,55
892,"Runnals, Jennifer J.",Psychiatry & Behavioral Sciences,55
893,"Hertzberg, Michael Andrew",Psychiatry & Behavioral Sciences,55
894,"Crawford, Eric F.",Psychiatry & Behavioral Sciences,55
895,"Ulmer, Christi S",Psychiatry & Behavioral Sciences,55
896,"Fulton, Jessica Jade",Psychiatry & Behavioral Sciences,55
897,"Kudler, Harold Stephen",Psychiatry & Behavioral Sciences,55
898,"Marx, Christine Elizabeth",Psychiatry & Behavioral Sciences,55
899,"Morey, Rajendra A.",Psychiatry & Behavioral Sciences,55
900,"Nieuwsma, Jason A",Psychiatry & Behavioral Sciences,55
901,"Tupler, Larry A.",Psychiatry & Behavioral Sciences,55
902,"Weiner, Richard David",Psychiatry & Behavioral Sciences,55
903,"Bedlack, Richard Stanley",Neurology,43
904,"Yao, Tso-Pang",Pharmacology & Cancer Biology,49
905,"Modrich, Paul L.",Biochemistry,6
906,"Behringer, Robert P.",Physics,51
907,"Bejan, Adrian",Mechanical Engineering and Materials Science,37
908,"Bejsovec, Amy",Biology,7
909,"Bellet, Jane Sanders",Dermatology,18
910,"Prose, Neil Stuart",Dermatology,18
911,"Wolfe, Sarah Ann",Dermatology,18
912,"Belloni, Alexandre",Fuqua School of Business,30
913,"Bendich, Paul L",Mathematics,36
914,"Harer, John",Mathematics,36
915,"Benfey, Philip N.",Biology,7
916,"Tomasi, Carlo",Computer Science,15
917,"Ohler, Uwe",Biostatistics & Bioinformatics,9
918,"Mitchell-Olds, Thomas",Biology,7
919,"Watt, Kevin Michael",Pediatrics,48
920,"Martin, Paul Langlie",Pediatrics,48
921,"Steinbach, William J.",Pediatrics,48
922,"Goldstein, Ricki Friedman",Pediatrics,48
923,"McKinney Jr., Ross Erwin",Pediatrics,48
924,"Lenfestey, Robert William",Pediatrics,48
925,"Reiman Jr., Robert Ellis",Radiology,58
926,"Bennear, Lori Snyder",Environmental Sciences and Policy,28
927,"Smith, Martin D.",Environmental Sciences and Policy,28
928,"Pfaff, Alexander",Sanford School of Public Policy,61
929,"Read, Andrew J",Marine Science and Conservation,35
930,"Benner, Eric James",Pediatrics,48
931,"Eroglu, Cagla",Cell Biology,10
932,"Kuo, Chay Titus",Cell Biology,10
933,"Liu, Chunlei",Radiology,58
934,"Smith, Stephen William",Biomedical Engineering,8
935,"Caspi, Avshalom",Psychology and Neuroscience,56
936,"Moffitt, Terrie E.",Psychology and Neuroscience,56
937,"Proeschold-Bell, Rae Jean",Duke Global Health Institute,21
938,"Bennett, George Vann",Biochemistry,6
939,"Marszalek, Piotr E.",Mechanical Engineering and Materials Science,37
940,"Yang, Weitao",Chemistry,11
941,"Shaw, Andrew David",Anesthesiology,2
942,"BENSON, THEOPHILUS ADETOKUNBO",Computer Science,15
943,"Campa, Michael Joseph",Radiology,58
944,"Gottlin, Elizabeth B.",Radiology,58
945,"Pisetsky, David Stephen",Medicine,39
946,"Linardic, Corinne Mary",Pediatrics,48
947,"Marks, Jeffrey R.",Surgery,68
948,"Schildkraut, Joellen Martha",Community and Family Medicine,14
949,"Iversen Jr., Edwin Severin",Statistical Science,67
950,"Heine, Robert Phillips",Obstetrics and Gynecology,44
951,"Seed, Patrick Casey",Pediatrics,48
952,"Ford, Anne Cunanan",Obstetrics and Gynecology,44
953,"Hawblitzel Yarnall, Kimberly S.",Community and Family Medicine,14
954,"Beratan, David N.",Chemistry,11
955,"Craig, Stephen Lawrence",Chemistry,11
956,"Toone, Eric John",Chemistry,11
957,"Moorman, Patricia Gripka",Community and Family Medicine,14
958,"Myers, Evan Robert",Obstetrics and Gynecology,44
959,"Berg, Carl",Medicine,39
960,"Berger, James O.",Statistical Science,67
961,"Clyde, Merlise",Statistical Science,67
962,"Bermeo, Sarah Blodgett",Sanford School of Public Policy,61
963,"Bernhardt, Emily Snow",Biology,7
964,"Doyle, Martin",Environmental Sciences and Policy,28
965,"Wright, Justin Prouty",Biology,7
966,"Liu, Jie",Chemistry,11
967,"Jackson, Robert B.",Earth and Ocean Sciences,23
968,"Oren, Ram",Environmental Sciences and Policy,28
969,"Palmroth, Sari",Environmental Sciences and Policy,28
970,"Di Giulio, Richard T.",Environmental Sciences and Policy,28
971,"Vengosh, Avner",Earth and Ocean Sciences,23
972,"Hsu-Kim, Heileen",Civil and Environmental Engineering,12
973,"Richardson, Curtis J.",Environmental Sciences and Policy,28
974,"Fay, John Patrick",Environmental Sciences and Policy,28
975,"Gunsch, Claudia K.",Civil and Environmental Engineering,12
976,"Meyer, Joel",Environmental Sciences and Policy,28
977,"Hunt, Dana E.",Marine Science and Conservation,35
978,"Bernstein, Fernando",Fuqua School of Business,30
979,"Kok, A. Gurhan",Fuqua School of Business,30
980,"Beskow, Laura Mari",Medicine,39
981,"Holditch-Davis, Diane L.",School of Nursing,63
982,"Jackson, George Lee",Medicine,39
983,"Bettman, James R.",Fuqua School of Business,30
984,"Fitzsimons, Gavan J.",Fuqua School of Business,30
985,"Payne, John W.",Fuqua School of Business,30
986,"Ubel, Peter A",Fuqua School of Business,30
987,"Richard, Michael Jason",Ophthalmology,45
988,"Kaylie, David Marcus",Surgery,68
989,"Ready, Neal Edward",Medicine,39
990,"Mahmoud, Tamer Hamdy",Ophthalmology,45
991,"Gururangan, Sridharan",Pediatrics,48
992,"Peters, Katherine Barnett",Neurology,43
993,"He, Yiping",Pathology,47
994,"Rasheed, B. K. Ahmed",Pathology,47
995,"Vo-Dinh, Tuan",Biomedical Engineering,8
996,"Nicchitta, Christopher Vincent",Cell Biology,10
997,"Black, Sherilynn",Medical Education,38
998,"Dzirasa, Kafui",Psychiatry & Behavioral Sciences,55
999,"Szabo, Steven",Psychiatry & Behavioral Sciences,55
1000,"Hartman, Zachary Conrad",Surgery,68
1001,"Clary, Bryan Marshall",Surgery,68
1002,"McCann, Richard L.",Surgery,68
1003,"Pappas, Theodore N.",Surgery,68
1004,"Scarborough, John Emerson",Surgery,68
1005,"White, Rebekah Ruth",Surgery,68
1006,"Lagoo-Deenadayalan, Sandhya Anand",Surgery,68
1007,"Willett, Christopher G.",Radiation Oncology,57
1008,"Zani Jr., Sabino",Surgery,68
1009,"Strickler, John",Medicine,39
1010,"Perez, Alexander",Surgery,68
1011,"Wu, Li-Tzy",Psychiatry & Behavioral Sciences,55
1012,"Burchett, Bruce Myatt",Psychiatry & Behavioral Sciences,55
1013,"Hybels, Celia F.",Psychiatry & Behavioral Sciences,55
1014,"Li, Ting-Kai",Psychiatry & Behavioral Sciences,55
1015,"James, Sherman A.",Sanford School of Public Policy,61
1016,"Fillenbaum, Gerda G.",Psychiatry & Behavioral Sciences,55
1017,"Mannelli, Paolo",Psychiatry & Behavioral Sciences,55
1018,"Swartz, Marvin Stanley",Psychiatry & Behavioral Sciences,55
1019,"Zeng, Yi",Medicine,39
1020,"Kinghorn, Warren A.",Psychiatry & Behavioral Sciences,55
1021,"Blazing, Michael August",Medicine,39
1022,"Silva, Susan Gray",School of Nursing,63
1023,"Varia, Indira Mahesh",Psychiatry & Behavioral Sciences,55
1024,"Blitzblau, Rachel Catherine",Radiation Oncology,57
1025,"Gockerman, Jon Paul",Medicine,39
1026,"Datto, Michael Bradley",Pathology,47
1027,"Riedel, Richard Francis",Medicine,39
1028,"Vlahovic, Gordana",Medicine,39
1029,"Hanks, Brent Allen",Medicine,39
1030,"Blood-Siegfried, Jane Elizabeth",School of Nursing,63
1031,"Bloomfield, Gerald",Medicine,39
1032,"Waugh, Robert Andrew",Medicine,39
1033,"Finkelstein, Eric Andrew",Duke Global Health Institute,21
1034,"Limkakeng Jr., Alexander Tan",Surgery,68
1035,"Lynch, Catherine Ann",Surgery,68
1036,"Blount, Alma G.",Sanford School of Public Policy,61
1037,"Blum, Volker",Mechanical Engineering and Materials Science,37
1038,"Potter, Guy Glenn",Psychiatry & Behavioral Sciences,55
1039,"Boadu, Fred K.",Civil and Environmental Engineering,12
1040,"Boatwright, Mary T.",Classical Studies,13
1041,"Bobrowski, Omer",Mathematics,36
1042,"Boehlke, Christopher Stephen",Ophthalmology,45
1043,"Muhlbaier, Lawrence H.",Biostatistics & Bioinformatics,9
1044,"Boggess, Blake Reid",Community and Family Medicine,14
1045,"Bytomski, Jeffrey Ryszard",Community and Family Medicine,14
1046,"Miller Jr., Michael Joseph",Radiology,58
1047,"Bollerslev, Tim",Economics,24
1048,"Tauchen, George E.",Economics,24
1049,"Orlando, Lori Ann",Medicine,39
1050,"Urbaniak, James Randolph",Orthopaedics,46
1051,"Mather, Richard Charles",Orthopaedics,46
1052,"Moorman III, Claude Thurman",Orthopaedics,46
1053,"Olson, Steven Arthur",Orthopaedics,46
1054,"Zura, Robert Douglas",Orthopaedics,46
1055,"Kwatra, Madan Mohan",Anesthesiology,2
1056,"Moon, Richard Edward",Anesthesiology,2
1057,"Rivelli, Sarah K.",Psychiatry & Behavioral Sciences,55
1058,"Young, Christopher Carlo",Anesthesiology,2
1059,"Marks, David Morris",Psychiatry & Behavioral Sciences,55
1060,"Bonaventura, Celia J.",Marine Science and Conservation,35
1061,"Crumbliss, Alvin L.",Chemistry,11
1062,"Bonaventura, Joseph",Marine Science and Conservation,35
1063,"Criscione-Schreiber, Lisa Giorgina",Medicine,39
1064,"Bookman, Jack",Mathematics,36
1065,"McGann, Kathleen Anne",Pediatrics,48
1066,"Narayan, Aditee Pradhan",Pediatrics,48
1067,"Borawski, Joseph Brian",Surgery,68
1068,"Gerardo, Charles John",Surgery,68
1069,"Hocker, Michael Brian",Surgery,68
1070,"Villani, John Joseph",Surgery,68
1071,"Bordelon, Anna Hong",Ophthalmology,45
1072,"Kim, Terry",Ophthalmology,45
1073,"Bordley, William Clayton",Pediatrics,48
1074,"Borel III, Cecil Orm",Anesthesiology,2
1075,"Guinn, Nicole Renee",Anesthesiology,2
1076,"McDonagh, David Lawrence",Anesthesiology,2
1077,"Keifer, John Conlon",Anesthesiology,2
1078,"Borges-Neto, Salvador",Radiology,58
1079,"James, Olga Gennadyevna",Radiology,58
1080,"Fiuzat, Mona",Medicine,39
1081,"Phillips III, Harry Rissler",Medicine,39
1082,"Borst, Alexandra Jane",Pediatrics,48
1083,"Sebastian, Siby Nil",Pathology,47
1084,"Hulette, Christine Marie",Pathology,47
1085,"Van Houtven, Courtney Harold",Medicine,39
1086,"Wang, Virginia",Medicine,39
1087,"Crowley, Matthew Janik",Medicine,39
1088,"Peterson, Matthew John",Medicine,39
1089,"Shaw, Ryan",School of Nursing,63
1090,"Johnson, Constance Margaret",School of Nursing,63
1091,"Lipkus, Isaac Marcelo",School of Nursing,63
1092,"Bowlby, Lynn Anne",Medicine,39
1093,"Trujillo, Gloria Marie",Community and Family Medicine,14
1094,"Goldstein, Karen",Medicine,39
1095,"Rakley, Susan Merle",Medicine,39
1096,"Pereira, Katherine Colligan",School of Nursing,63
1097,"Bottiger, Brandi Anne",Anesthesiology,2
1098,"Boudreau, Alan E.",Earth and Ocean Sciences,23
1099,"Boulding, William F.",Fuqua School of Business,30
1100,"Staelin, Richard",Fuqua School of Business,30
1101,"Boulware, L. Ebony",Medicine,39
1102,"Toth, Cynthia Ann",Ophthalmology,45
1103,"Bowler, Kate",Divinity School,20
